Date,High,Low,LTP,Quantity,Turnover,Open,positive,negative,neutral
4/6/2011,587,587,587,56,32872,576,0.266418355,0.546604596,0.186977063
4/17/2011,598,598,598,25,14950,587,0.488904083,0.507722953,0.003372963
4/20/2011,587,587,587,10,5870,598,0.334521188,0.51006562,0.155413206
4/27/2011,587,587,587,75,44025,587,0.288576282,0.574446073,0.136977633
4/28/2011,598,588,588,238,140254,587,0.225099922,0.672070959,0.102829125
5/2/2011,620,599,620,117,70788,588,0.134468469,0.628293021,0.237238475
5/4/2011,632,632,632,181,114392,620,0.150129982,0.749127709,0.100742295
5/10/2011,632,632,632,31,19592,632,0.294199421,0.604820275,0.100980296
5/11/2011,634,634,634,31,19654,632,0.159131836,0.777994613,0.062873567
5/12/2011,646,646,646,25,16150,634,0.038367506,0.896100654,0.065531838
5/16/2011,671,658,671,50,33225,646,0.243028934,0.52130435,0.235666726
5/18/2011,704,687,702,381,263525,671,0.128668469,0.623386993,0.247944545
5/19/2011,700,690,700,243,169290,702,0.026110474,0.723583808,0.250305713
5/22/2011,697,685,697,511,351006,700,0.423610112,0.551619811,0.02477009
5/23/2011,685,684,685,145,99230,697,0.199728213,0.699559993,0.100711787
5/25/2011,719,719,719,10,7190,685,0.258424513,0.702129202,0.039446306
5/26/2011,705,675,675,291,197177,719,0.372024396,0.477024204,0.150951396
6/1/2011,686,685,686,50,34265,675,0.282613189,0.264659228,0.452727567
6/2/2011,688,688,688,25,17200,686,0.306275134,0.605627549,0.088097316
6/5/2011,689,660,660,96,65363,688,0.381954128,0.415877387,0.202168503
6/14/2011,647,594,594,1065,638018,660,0.412292977,0.317993308,0.26971373
6/15/2011,583,564,564,113,65137,594,0.110676362,0.707347949,0.181975703
6/16/2011,553,508,528,728,380169,564,0.203616425,0.614304498,0.182079078
7/7/2011,405,405,405,31,12555,528,0.237126331,0.734159729,0.028713929
7/20/2011,413,413,413,31,12803,405,0.645169678,0.27448689,0.080343443
7/27/2011,421,421,421,10,4210,413,0.231788163,0.596596187,0.171615671
8/3/2011,429,429,429,10,4290,421,0.510763338,0.429080497,0.060156168
8/7/2011,437,437,437,10,4370,429,0.482447841,0.509553175,0.007998977
8/10/2011,440,432,432,72,31184,437,0.2431968,0.684256704,0.072546501
8/11/2011,440,440,440,11,4840,432,0.41879693,0.510217855,0.070985229
9/13/2011,448,448,448,31,13888,440,0.418994666,0.568894536,0.012110814
9/15/2011,446,446,446,45,20070,448,0.234055932,0.561851685,0.204092382
10/16/2011,450,450,450,20,9000,446,0.39418518,0.600212198,0.005602618
10/17/2011,451,451,451,112,50512,450,0.177583436,0.645434512,0.176982031
10/23/2011,445,445,445,124,55180,451,0.212238372,0.722150749,0.065610851
10/31/2011,453,453,453,10,4530,445,0.298020429,0.266248655,0.435730923
11/15/2011,455,451,455,124,56172,453,0.092361458,0.751936717,0.155701819
11/16/2011,450,450,450,248,111600,455,0.097940564,0.735142374,0.166917059
12/13/2011,480,459,480,215,101748,450,0.27686825,0.486876403,0.236255345
12/14/2011,489,489,489,31,15159,480,0.456702415,0.418480222,0.124817364
12/27/2011,498,498,498,62,30876,489,0.493797192,0.296055514,0.210147302
1/1/2012,489,489,489,50,24450,498,0.255719722,0.400200168,0.344080123
1/8/2012,517,498,507,107,54174,489,0.187535486,0.643792371,0.168672163
1/9/2012,517,517,517,12,6204,507,0.284156532,0.711305341,0.004538126
1/10/2012,532,522,532,40,21080,517,0.473157179,0.28826173,0.238581115
1/23/2012,562,541,552,127,69653,532,0.382601218,0.523586658,0.093812136
1/26/2012,563,563,563,15,8445,552,0.245051934,0.58116105,0.173787025
1/29/2012,563,563,563,62,34906,563,0.132075445,0.609345973,0.25857859
1/31/2012,574,563,574,25,14240,563,0.331850752,0.654830103,0.01331914
2/1/2012,574,574,574,50,28700,574,0.21608636,0.743703688,0.040209924
2/12/2012,563,563,563,52,29276,574,0.08860936,0.791314571,0.120076051
2/15/2012,596,574,596,104,61489,563,0.213601098,0.596001998,0.190396885
2/21/2012,610,607,610,43,26131,596,0.267271639,0.723086079,0.009642267
2/23/2012,620,620,620,20,12400,610,0.100741192,0.693078163,0.206180634
2/26/2012,644,632,644,46,29444,620,0.330466711,0.540717346,0.128815919
2/28/2012,669,656,669,70,46275,644,0.318440579,0.659982507,0.021576934
3/4/2012,670,670,670,10,6700,669,0.344289817,0.628039145,0.027670998
3/6/2012,675,675,675,62,41850,670,0.314631807,0.501777956,0.183590223
3/11/2012,675,675,675,126,85050,675,0.042817699,0.71732027,0.239862006
3/15/2012,682,682,682,15,10230,675,0.100025977,0.609839848,0.290134156
3/20/2012,682,670,677,2063,1382400,682,0.630163502,0.232248747,0.13758774
3/21/2012,675,670,675,110,73750,677,0.370144175,0.58179047,0.048065346
3/25/2012,680,670,670,71,47970,675,0.149642972,0.601772861,0.248584158
3/29/2012,657,632,640,449,287675,670,0.154977432,0.665208402,0.17981419
4/1/2012,628,628,628,40,25120,640,0.332757187,0.446642924,0.220599884
4/2/2012,616,616,616,52,32032,628,0.231590796,0.696037,0.072372176
4/5/2012,604,604,604,156,94224,616,0.248642152,0.547676167,0.203681678
4/9/2012,593,593,593,40,23720,604,0.139603544,0.792234458,0.068162002
4/12/2012,600,600,600,45,27000,593,0.278752405,0.57071883,0.15052878
5/2/2012,591,590,590,198,116966,600,0.255542318,0.657933014,0.086524679
5/8/2012,592,591,592,144,85144,590,0.161658183,0.805831786,0.03251003
5/9/2012,603,603,603,40,24120,592,0.157072969,0.722216795,0.12071024
5/10/2012,615,615,615,38,23370,603,0.063087189,0.703050551,0.233862247
5/21/2012,627,615,627,360,221880,615,0.430226546,0.491757173,0.078016283
5/22/2012,627,627,627,160,100320,627,0.293774063,0.59813738,0.108088547
5/24/2012,639,639,639,40,25560,627,0.394892697,0.399564712,0.205542604
5/30/2012,630,630,630,40,25200,639,0.253698635,0.518497736,0.227803627
6/4/2012,625,620,623,220,136849,630,0.328438389,0.588806582,0.082755037
6/5/2012,635,620,630,412,257621,623,0.431245172,0.383633376,0.185121449
6/6/2012,618,618,618,72,44496,630,0.138089214,0.760104383,0.101806395
6/11/2012,620,620,620,48,29760,618,0.341255023,0.428045,0.230699976
6/12/2012,630,620,630,29,18120,620,0.249173289,0.495920108,0.254906599
6/13/2012,640,630,640,133,84190,630,0.529569673,0.393314471,0.07711585
6/17/2012,678,652,678,71,47189,640,0.393458536,0.446572801,0.159968646
6/18/2012,691,691,691,16,11056,678,0.551065622,0.410296629,0.038637763
6/19/2012,691,691,691,30,20730,691,0.361407215,0.55194297,0.086649816
6/20/2012,756,704,756,538,394546,691,0.260911485,0.473655754,0.265432731
7/4/2012,560,560,560,100,56000,756,0.038092475,0.71147623,0.25043129
7/5/2012,576,555,576,251,141345,560,0.005649114,0.828709832,0.165641071
7/8/2012,587,587,587,10,5870,576,0.061523142,0.869701099,0.068775765
7/9/2012,576,555,555,122,68030,587,0.139793405,0.664461386,0.1957452
7/11/2012,566,566,566,25,14150,555,0.318096421,0.636619799,0.045283766
7/12/2012,577,566,566,28,15958,566,0.311485946,0.341801729,0.346712317
7/18/2012,570,570,570,34,19380,566,0.266205633,0.728894842,0.004899529
7/25/2012,581,581,581,10,5810,570,0.208688216,0.626776103,0.164535684
7/30/2012,592,592,592,31,18352,581,0.137705772,0.783718708,0.078575512
8/23/2012,603,603,603,34,20502,592,0.486631235,0.400089752,0.113278997
8/27/2012,615,615,615,10,6150,603,0.453150386,0.492427877,0.054421729
9/9/2012,627,627,627,40,25080,615,0.433599755,0.436637337,0.129762904
9/10/2012,677,639,677,160,105990,627,0.08080982,0.638674083,0.280516084
9/11/2012,703,690,703,160,110920,677,0.255666642,0.541647131,0.202686222
9/12/2012,745,717,745,35,25515,703,0.259258694,0.63296271,0.107778622
9/13/2012,759,759,759,40,30360,745,0.20800343,0.506843862,0.285152701
9/19/2012,774,759,774,186,143034,759,0.530370552,0.366888392,0.102741047
9/20/2012,789,789,789,40,31560,774,0.468233847,0.446818476,0.08494766
9/23/2012,851,804,851,225,187845,789,0.349281674,0.536863738,0.113854585
9/24/2012,897,855,880,184,162376,851,0.020001159,0.599163805,0.380835036
9/25/2012,913,897,900,340,306534,880,0.364182102,0.499525831,0.136292052
9/26/2012,885,882,885,255,225030,900,0.419596828,0.361648103,0.218755074
9/30/2012,885,870,870,80,70200,885,0.360759666,0.633733467,0.005506871
10/2/2012,853,853,853,40,34120,870,0.39408394,0.509852133,0.096063911
10/3/2012,836,820,820,184,151520,853,0.47225168,0.445495391,0.082252924
10/4/2012,804,804,804,225,180900,820,0.381492668,0.558738821,0.059768541
10/7/2012,837,820,837,121,100308,804,0.442692959,0.497920762,0.059386278
10/8/2012,870,840,870,180,154695,837,0.31331468,0.480647564,0.206037763
10/9/2012,880,863,863,49,42627,870,0.268043554,0.607651272,0.124305164
10/10/2012,880,865,880,115,100250,863,0.23063452,0.564336303,0.205029171
10/18/2012,880,880,880,40,35200,880,0.171712233,0.70230025,0.12598754
10/30/2012,887,870,887,88,77716,880,0.233797366,0.550087271,0.216115379
10/31/2012,915,899,915,50,45110,887,0.109234675,0.774213974,0.116551367
11/1/2012,918,900,918,45,40680,915,0.315261053,0.430127456,0.254611492
11/4/2012,918,910,910,137,124950,918,0.364997063,0.510330678,0.124672272
11/5/2012,940,928,940,61,56728,910,0.341892395,0.535982567,0.122125027
11/7/2012,980,958,980,197,191604,940,0.220344451,0.676166138,0.103489408
11/12/2012,1004,985,985,250,246640,980,0.004214961,0.853976566,0.141808474
11/20/2012,1003,1003,1003,10,10030,985,0.035648773,0.794486495,0.16986472
11/21/2012,1023,1003,1003,303,305009,1003,0.345224833,0.527484519,0.127290653
11/22/2012,1003,1003,1003,40,40120,1003,0.395849221,0.379881007,0.224269778
11/28/2012,1020,1020,1020,31,31620,1003,0.296651376,0.554476921,0.148871712
11/29/2012,1003,980,980,190,189560,1020,0.333316011,0.5322862,0.134397789
12/12/2012,1010,990,990,97,96596,980,0.535063844,0.430311765,0.034624382
12/13/2012,1000,1000,1000,54,54000,990,0.419374201,0.526542032,0.054083771
12/16/2012,1000,1000,1000,60,60000,1000,0.326609746,0.575189901,0.098200345
12/17/2012,1080,1020,1040,189,200720,1000,0.550810551,0.213899676,0.235289739
12/19/2012,1144,1060,1144,138,153934,1040,0.356545783,0.503354315,0.140099893
12/20/2012,1258,1166,1258,354,437764,1144,0.441419888,0.430445703,0.128134415
12/23/2012,1305,1280,1305,593,773365,1258,0.497952197,0.41893774,0.083110054
12/26/2012,1428,1331,1428,100,138410,1305,0.268823879,0.716904096,0.014272013
12/27/2012,1440,1400,1440,189,267020,1428,0.421622198,0.392877347,0.185500479
12/31/2012,1480,1451,1451,31,45441,1440,0.313853087,0.293923625,0.392223308
1/1/2013,1426,1400,1400,153,217220,1451,0.327358067,0.563499031,0.109142899
1/2/2013,1420,1392,1414,1053,1471256,1400,0.259895398,0.655236246,0.084868372
1/3/2013,1455,1430,1446,433,625659,1414,0.148681077,0.660920471,0.190398448
1/7/2013,1688,1560,1661,604,991624,1535,0.277094054,0.583608294,0.139297675
1/8/2013,1636,1635,1635,213,348340,1661,0.320366561,0.460037029,0.219596396
1/9/2013,1667,1667,1667,10,16670,1635,0.142483866,0.67011634,0.187399793
1/13/2013,1634,1602,1602,21,33994,1667,0.127142332,0.726306217,0.146551461
1/15/2013,1570,1442,1442,98,144846,1602,0.416469151,0.492622683,0.090908159
1/16/2013,1442,1315,1440,900,1255435,1442,0.225359852,0.763976857,0.010663298
1/17/2013,1417,1380,1410,748,1048120,1440,0.228776119,0.626992479,0.144231383
1/21/2013,1382,1382,1382,109,150638,1410,0.238588907,0.505355078,0.25605603
1/22/2013,1433,1405,1433,509,717448,1382,0.155074353,0.726416353,0.118509308
1/23/2013,1461,1449,1449,170,246450,1433,0.177875651,0.710107116,0.112017225
1/24/2013,1449,1449,1449,40,57960,1449,0.30627244,0.543391911,0.150335642
1/27/2013,1477,1448,1448,39,56994,1449,0.268116237,0.679288097,0.052595655
1/28/2013,1420,1322,1340,1083,1449458,1448,0.205999623,0.557150219,0.236850154
1/30/2013,1328,1303,1306,324,426780,1340,0.177091217,0.608645916,0.214262853
1/31/2013,1315,1300,1315,211,275434,1306,0.198064876,0.694308472,0.107626651
2/3/2013,1332,1306,1332,133,175419,1315,0.170041127,0.819197967,0.010760896
2/4/2013,1340,1332,1332,50,66680,1332,0.22760091,0.667651669,0.104747428
2/5/2013,1340,1315,1315,81,107395,1332,0.10753044,0.667502168,0.224967401
2/6/2013,1300,1300,1300,67,87100,1315,0.190839778,0.692715826,0.116444425
2/10/2013,1320,1300,1320,211,276110,1300,0.090823824,0.865071746,0.044104423
2/12/2013,1350,1320,1350,322,430428,1320,0.086049622,0.616159769,0.29779062
2/13/2013,1409,1350,1407,236,324425,1350,0.161549416,0.754631901,0.083818692
2/14/2013,1390,1390,1390,84,116760,1407,0.218493346,0.655887935,0.125618734
2/17/2013,1417,1417,1417,10,14170,1390,0.167826087,0.713199864,0.118974056
2/19/2013,1502,1445,1472,394,581308,1417,0.473337488,0.396794245,0.129868264
2/20/2013,1459,1426,1426,301,434695,1472,0.179740578,0.7110028,0.10925663
2/24/2013,1401,1390,1401,220,307820,1426,0.216993645,0.625288738,0.157717629
2/25/2013,1400,1400,1400,85,119000,1401,0.247020864,0.716768052,0.036211074
2/27/2013,1399,1394,1394,90,125610,1400,0.132390939,0.722774579,0.144834459
2/28/2013,1400,1394,1400,312,435900,1394,0.286139501,0.639239491,0.074621015
3/4/2013,1400,1395,1395,159,222029,1400,0.300714743,0.36980382,0.329481422
3/6/2013,1405,1405,1405,100,140500,1395,0.326488999,0.634609721,0.038901292
3/7/2013,1377,1377,1377,88,121176,1405,0.239514682,0.66383926,0.096646054
3/11/2013,1404,1404,1404,10,14040,1377,0.33501459,0.544320663,0.120664733
3/13/2013,1432,1404,1415,574,815146,1404,0.392259236,0.598073766,0.009666993
3/14/2013,1446,1440,1440,301,434891,1415,0.276284581,0.571045352,0.152670065
3/17/2013,1445,1420,1440,357,511083,1440,0.327559038,0.600669736,0.071771207
3/18/2013,1440,1412,1412,95,135569,1440,0.407482793,0.409561709,0.182955493
3/21/2013,1375,1375,1375,477,655875,1384,0.315031226,0.448835989,0.236132773
3/24/2013,1399,1399,1399,54,75546,1375,0.390525324,0.443372911,0.166101758
3/25/2013,1410,1377,1410,747,1044108,1399,0.455013685,0.495796662,0.049189649
3/27/2013,1430,1386,1415,287,406317,1410,0.373465663,0.613460853,0.013073461
3/28/2013,1425,1415,1415,239,338705,1415,0.352497116,0.553287452,0.094215416
3/31/2013,1430,1419,1421,474,676472,1415,0.27215249,0.367300409,0.360547105
4/1/2013,1420,1420,1420,10,14200,1421,0.285179376,0.519634687,0.195185944
4/2/2013,1410,1410,1410,52,73320,1420,0.51508576,0.368331442,0.116582782
4/3/2013,1414,1376,1400,269,375978,1410,0.437367189,0.456428616,0.106204192
4/4/2013,1414,1400,1414,74,103796,1400,0.107507622,0.561860001,0.330632385
4/7/2013,1442,1414,1433,423,604142,1414,0.269221008,0.530126298,0.200652708
4/8/2013,1440,1430,1430,556,795620,1433,0.31179311,0.496905634,0.191301265
4/9/2013,1440,1438,1438,103,148177,1430,0.244595303,0.588675081,0.166729618
4/11/2013,1445,1430,1430,458,658828,1438,0.284537788,0.560552932,0.154909276
4/15/2013,1450,1430,1450,553,793827,1430,0.300074456,0.627140701,0.072784862
4/18/2013,1421,1421,1421,54,76734,1450,0.252346503,0.641720314,0.105933195
4/22/2013,1400,1400,1400,40,56000,1421,0.433727343,0.43367225,0.132600385
4/28/2013,1390,1370,1370,270,370900,1400,0.149259995,0.779642595,0.071097414
4/29/2013,1350,1343,1350,280,376110,1370,0.180065844,0.696696847,0.123237305
4/30/2013,1325,1323,1323,20,26480,1350,0.203868116,0.744545449,0.051586445
5/2/2013,1315,1300,1300,170,221810,1323,0.201337305,0.718342817,0.080319871
5/5/2013,1326,1300,1300,95,124176,1300,0.172862512,0.78092171,0.04621579
5/6/2013,1302,1300,1300,198,257428,1300,0.33192213,0.612705352,0.055372526
5/8/2013,1300,1300,1300,55,71500,1300,0.245296057,0.722581818,0.032122111
5/9/2013,1295,1295,1295,54,69930,1300,0.247197625,0.631333563,0.121468806
5/12/2013,1295,1295,1295,54,69930,1295,0.086583652,0.788070647,0.125345701
5/13/2013,1302,1300,1302,104,135224,1295,0.127731543,0.732465451,0.139803005
5/14/2013,1328,1302,1328,245,324606,1302,0.162384971,0.587336471,0.250278544
5/15/2013,1345,1321,1326,87,116513,1328,0.184403322,0.68891103,0.126685632
5/16/2013,1325,1300,1304,127,165795,1326,0.229226711,0.642814763,0.127958538
5/19/2013,1330,1330,1330,36,47880,1304,0.199266609,0.683940149,0.116793236
5/20/2013,1366,1356,1366,522,711292,1330,0.400630094,0.512941165,0.086428752
5/21/2013,1400,1375,1380,318,438700,1366,0.371957519,0.54305298,0.084989509
5/22/2013,1415,1407,1415,128,180608,1380,0.178159563,0.738946409,0.082894029
5/23/2013,1428,1400,1428,400,560868,1415,0.225447459,0.558253494,0.216299049
5/26/2013,1460,1428,1460,266,382743,1428,0.264916197,0.666289703,0.068794104
5/27/2013,1500,1460,1500,272,404260,1460,0.404520675,0.46222845,0.133250889
5/28/2013,1590,1528,1590,859,1314585,1500,0.449730598,0.452042271,0.098227143
5/30/2013,1610,1575,1575,116,184910,1590,0.491062288,0.243486427,0.265451292
6/2/2013,1560,1544,1560,20,31040,1575,0.140886819,0.721162925,0.13795025
6/3/2013,1540,1540,1540,14,21560,1560,0.323757742,0.650159875,0.026082377
6/4/2013,1569,1540,1540,25,38790,1540,0.181294915,0.535874487,0.282830622
6/5/2013,1510,1471,1471,331,487921,1540,0.087575958,0.757532773,0.154891298
6/6/2013,1500,1450,1490,377,550472,1471,0.469886776,0.49116776,0.038945473
6/9/2013,1505,1481,1505,374,557574,1490,0.327527909,0.535161583,0.137310526
6/10/2013,1510,1510,1510,30,45300,1505,0.185052298,0.613548336,0.201399375
6/11/2013,1515,1500,1515,143,215845,1510,0.212824964,0.449488661,0.337686368
6/12/2013,1550,1525,1550,620,951376,1515,0.379062214,0.467013346,0.153924448
6/13/2013,1599,1545,1599,438,684174,1550,0.221063126,0.595425609,0.183511261
6/17/2013,1568,1568,1568,200,313600,1599,0.275161825,0.480190049,0.244648125
6/18/2013,1555,1515,1515,134,205170,1568,0.390134552,0.543028766,0.066836663
6/19/2013,1535,1500,1535,141,213640,1515,0.485257342,0.333757059,0.180985615
6/20/2013,1540,1535,1535,57,87695,1535,0.583130474,0.209186315,0.207683264
6/23/2013,1550,1480,1550,467,715009,1535,0.228110247,0.523335414,0.248554323
6/24/2013,1642,1556,1556,925,1462784,1550,0.292826417,0.638685553,0.068488033
6/26/2013,1594,1550,1555,464,730283,1556,0.415168288,0.574694773,0.010136942
6/27/2013,1585,1550,1581,2643,4166098,1555,0.435568261,0.410324027,0.154107707
