Date,High,Low,LTP,Quantity,Turnover,Open,positive,negative,neutral
10/24/2011,100,100,100,44710,4471000,100,0.321719575,0.650107197,0.028173231
10/25/2011,100,100,100,29060,2906000,100,0.475394605,0.431719534,0.092885847
10/30/2011,98,98,98,200,19600,100,0.300238672,0.691556224,0.008205093
10/31/2011,100,99,100,56120,5611890,98,0.298020429,0.266248655,0.435730923
11/3/2011,100,100,100,11180,1118000,100,0.341387679,0.633916607,0.024695695
11/8/2011,100,98,100,9120,911680,100,0.360956896,0.428627025,0.210416064
11/10/2011,100,99,100,208360,20813645,100,0.315334225,0.608410198,0.076255572
11/13/2011,100,100,100,460,46000,100,0.157377829,0.747997221,0.094624958
11/16/2011,100,100,100,5020,502000,100,0.097940564,0.735142374,0.166917059
11/17/2011,100,100,100,13415,1341500,100,0.069071297,0.912917978,0.018010731
11/21/2011,100,100,100,44965,4496500,100,0.207563087,0.532177473,0.260259444
11/22/2011,100,100,100,12180,1218000,100,0.221462246,0.700036436,0.07850133
11/23/2011,101,101,101,145320,14677320,100,0.315439524,0.482692923,0.201867547
12/5/2011,99,99,99,30,2970,101,0.317648944,0.668578154,0.013772926
12/7/2011,100,100,100,240,24000,99,0.357665954,0.58790517,0.054428846
12/11/2011,100,100,100,8540,854000,100,0.249489737,0.256427329,0.494082949
12/13/2011,100,100,100,50,5000,100,0.27686825,0.486876403,0.236255345
12/14/2011,100,100,100,1550,155000,100,0.456702415,0.418480222,0.124817364
12/18/2011,100,100,100,50,5000,100,0.725154215,0.026293158,0.248552599
2/7/2012,99,99,99,20,1980,100,0.248201366,0.676704294,0.075094325
3/20/2012,99,99,99,40,3960,99,0.630163502,0.232248747,0.13758774
4/30/2012,100,98,100,5730,572650,99,0.207029893,0.699015186,0.093954914
7/8/2012,100,100,100,13810,1381000,100,0.061523142,0.869701099,0.068775765
7/16/2012,100,100,100,50,5000,100,0.249652764,0.577687231,0.172660022
8/1/2012,99,99,99,70,6930,100,0.259265567,0.611501471,0.129232959
9/18/2012,100,100,100,20,2000,99,0.501209706,0.416538309,0.082251971
2/5/2013,98,98,98,330,32340,100,0.10753044,0.667502168,0.224967401
5/20/2013,97,96,96,70,6740,98,0.400630094,0.512941165,0.086428752
7/7/2013,98,97,98,80,7780,96,0.362355549,0.625536752,0.012107711
7/8/2013,101,99,100,11240,1123940,98,0.208513195,0.569487727,0.221999072
7/9/2013,100,100,100,310,31000,100,0.454771332,0.529172318,0.016056354
8/1/2013,100,100,100,609080,60908000,100,0.3275214,0.524550621,0.147927966
8/4/2013,100,100,100,120,12000,100,0.208140095,0.617572207,0.17428768
8/11/2013,98,98,98,150,14700,100,0.153546792,0.736347766,0.110105454
