Date,High,Low,LTP,Quantity,Turnover,Open,positive,negative,neutral
3/17/2011,155,153,153,470,72460,150,0.02106769,0.972958744,0.005973655
3/27/2011,143,137,139,1031,143645,141,0.326006847,0.506904762,0.167088344
3/28/2011,137,129,129,1942,259893,139,0.219886121,0.668332841,0.111781045
3/29/2011,128,125,128,1636,205979,129,0.145735587,0.571141196,0.283123229
3/31/2011,139,130,139,995,133570,128,0.109186003,0.666453862,0.224360116
4/4/2011,141,138,140,978,135691,139,0.100395538,0.498140728,0.401463737
4/5/2011,138,136,138,854,117060,140,0.104265768,0.677605355,0.21812886
4/6/2011,139,132,135,1572,212873,138,0.266418355,0.546604596,0.186977063
4/7/2011,137,135,136,673,91055,135,0.124533097,0.546728651,0.328738239
4/10/2011,135,131,131,1714,227766,136,0.106067815,0.79197723,0.101954949
4/11/2011,130,129,130,1115,143950,131,0.345036189,0.411403296,0.243560539
4/13/2011,130,128,130,156,19998,130,0.122848018,0.801913844,0.075238159
4/17/2011,128,128,128,110,14080,130,0.488904083,0.507722953,0.003372963
4/18/2011,129,127,127,115,14705,128,0.05728718,0.814829823,0.127882986
4/19/2011,127,124,124,1726,216496,127,0.383236468,0.596211936,0.02055158
4/20/2011,125,125,125,900,112500,124,0.334521188,0.51006562,0.155413206
4/21/2011,127,124,126,1969,246361,125,0.169357684,0.630448548,0.20019378
4/26/2011,126,124,124,187,23216,126,0.295047991,0.548642088,0.156309917
4/27/2011,123,112,112,2330,273072,124,0.288576282,0.574446073,0.136977633
4/28/2011,115,114,115,279,32015,112,0.225099922,0.672070959,0.102829125
5/2/2011,117,115,117,1056,122752,115,0.134468469,0.628293021,0.237238475
5/3/2011,118,115,118,1462,169996,117,0.006930341,0.835658308,0.157411349
5/4/2011,120,120,120,91,10920,118,0.150129982,0.749127709,0.100742295
5/5/2011,122,122,122,99,12078,120,0.030978719,0.90263918,0.066382107
5/8/2011,122,120,120,1700,204600,122,0.106865842,0.836820514,0.056313647
5/10/2011,128,122,128,848,105574,120,0.294199421,0.604820275,0.100980296
5/11/2011,130,126,126,973,124198,128,0.159131836,0.777994613,0.062873567
5/12/2011,125,123,123,1098,135401,126,0.038367506,0.896100654,0.065531838
5/15/2011,126,125,126,238,29956,123,0.022797704,0.95887546,0.018326829
5/16/2011,126,124,126,359,44800,126,0.243028934,0.52130435,0.235666726
5/18/2011,125,123,125,917,113845,126,0.128668469,0.623386993,0.247944545
5/22/2011,123,123,123,161,19803,125,0.423610112,0.551619811,0.02477009
5/23/2011,127,125,125,466,58470,123,0.199728213,0.699559993,0.100711787
5/24/2011,126,123,126,167,20724,125,0.330246645,0.511485943,0.158267396
5/25/2011,128,126,126,704,88834,126,0.258424513,0.702129202,0.039446306
5/26/2011,126,126,126,1161,146286,126,0.372024396,0.477024204,0.150951396
5/30/2011,125,125,125,133,16625,126,0.411584969,0.441262073,0.147152956
5/31/2011,125,121,125,1084,133487,125,0.434571435,0.300567398,0.264861203
6/1/2011,125,125,125,147,18375,125,0.282613189,0.264659228,0.452727567
6/2/2011,123,117,117,1104,133052,125,0.306275134,0.605627549,0.088097316
6/5/2011,118,107,113,3495,386849,117,0.381954128,0.415877387,0.202168503
6/6/2011,113,103,103,9135,952859,113,0.636415652,0.329127903,0.034456431
6/7/2011,103,98,98,5672,571150,103,0.323017344,0.541031204,0.135951481
6/8/2011,102,99,100,908,90941,98,0.261735282,0.648802087,0.089462642
6/9/2011,100,98,100,2011,200616,100,0.199110247,0.679787287,0.121102469
