Date,High,Low,LTP,Quantity,Turnover,Open,positive,negative,neutral
11/3/2011,330,312,312,60,19260,0,0.341387679,0.633916607,0.024695695
11/6/2011,306,289,289,70,20720,312,0.243411712,0.747173063,0.009415196
11/8/2011,284,274,274,50,13850,289,0.360956896,0.428627025,0.210416064
11/13/2011,269,249,249,90,23210,274,0.157377829,0.747997221,0.094624958
11/14/2011,245,233,233,130,30890,249,0.217718469,0.683922771,0.098358777
11/15/2011,229,210,210,150,32570,233,0.092361458,0.751936717,0.155701819
11/16/2011,206,189,189,100,19560,210,0.097940564,0.735142374,0.166917059
11/17/2011,186,171,171,90,16110,189,0.069071297,0.912917978,0.018010731
11/20/2011,168,154,154,8140,1254380,171,0.171182487,0.792288402,0.036529106
11/21/2011,151,142,146,7170,1038660,154,0.207563087,0.532177473,0.260259444
11/22/2011,160,144,160,17060,2695700,146,0.221462246,0.700036436,0.07850133
11/23/2011,161,151,153,10630,1675330,160,0.315439524,0.482692923,0.201867547
11/24/2011,160,156,158,10850,1713130,153,0.372667064,0.514658957,0.112674004
11/27/2011,162,156,162,18790,3002510,158,0.310299786,0.521204716,0.168495518
11/28/2011,163,155,160,8150,1306440,162,0.640289828,0.176075745,0.183634414
11/29/2011,162,156,160,13200,2108540,160,0.482519259,0.515476748,0.002003969
11/30/2011,169,157,169,18900,3087250,160,0.485589095,0.51121986,0.003191076
12/1/2011,166,157,162,19450,3127560,169,0.280983735,0.645617337,0.07339892
12/4/2011,159,152,152,80,12560,162,0.368236397,0.40958968,0.222173928
12/11/2011,149,137,137,100,14480,152,0.249489737,0.256427329,0.494082949
12/12/2011,140,128,140,1370,182750,137,0.340970391,0.555645856,0.103383749
12/13/2011,144,134,135,1600,219580,140,0.27686825,0.486876403,0.236255345
12/14/2011,142,136,142,1000,139860,135,0.456702415,0.418480222,0.124817364
12/15/2011,141,139,141,790,111250,142,0.188988874,0.676958453,0.134052658
12/18/2011,145,143,145,60,8640,141,0.725154215,0.026293158,0.248552599
12/19/2011,149,143,149,570,82730,145,0.153457894,0.771941985,0.074600116
12/20/2011,151,149,151,220,32890,149,0.620856006,0.242634416,0.136509588
12/21/2011,148,146,146,190,27920,151,0.698080826,0.264686655,0.037232518
12/22/2011,148,146,146,130,19060,146,0.589267118,0.320509663,0.090223222
12/26/2011,148,145,148,130,18960,146,0.531416445,0.45836877,0.010214801
12/27/2011,148,146,146,380,55700,148,0.493797192,0.296055514,0.210147302
12/28/2011,144,141,142,670,95300,146,0.113285337,0.642636355,0.244078285
12/29/2011,144,143,144,1510,217330,142,0.447297675,0.366052071,0.186650242
1/1/2012,150,146,146,1820,268890,144,0.255719722,0.400200168,0.344080123
1/2/2012,150,142,148,450,65460,146,0.26362651,0.530454191,0.205919279
1/3/2012,154,145,151,950,142110,148,0.532596725,0.374418302,0.092984983
1/4/2012,150,148,150,1590,237820,151,0.033055531,0.847647533,0.119296933
1/5/2012,152,151,152,940,142760,150,0.500694418,0.408008651,0.091296953
1/8/2012,153,149,153,990,149570,152,0.187535486,0.643792371,0.168672163
1/9/2012,158,153,156,970,150230,153,0.284156532,0.711305341,0.004538126
1/10/2012,160,156,160,700,110380,156,0.473157179,0.28826173,0.238581115
1/11/2012,164,157,164,1000,158270,160,0.561799651,0.197835058,0.240365304
1/12/2012,165,160,161,1700,275350,164,0.293519597,0.593131507,0.113348882
1/16/2012,161,159,159,1100,175880,161,0.258484858,0.734575397,0.006939757
1/17/2012,158,156,157,1310,206000,159,0.433191112,0.471495508,0.095313388
1/18/2012,161,157,161,1200,191390,157,0.21273604,0.699031011,0.088232939
1/19/2012,160,160,160,530,84800,161,0.299809301,0.691207134,0.008983567
1/22/2012,160,159,159,1000,159100,160,0.235189998,0.650952417,0.113857597
1/23/2012,157,154,157,580,89980,159,0.382601218,0.523586658,0.093812136
1/25/2012,155,154,155,140,21590,157,0.463409714,0.411467573,0.125122715
1/26/2012,160,155,157,300,47040,155,0.245051934,0.58116105,0.173787025
1/29/2012,165,160,163,1610,262350,157,0.132075445,0.609345973,0.25857859
1/31/2012,166,162,162,1390,227300,163,0.331850752,0.654830103,0.01331914
2/1/2012,165,162,164,60,9820,162,0.21608636,0.743703688,0.040209924
2/2/2012,165,162,165,620,101700,164,0.199535066,0.566089201,0.234375719
2/5/2012,165,160,165,430,69360,165,0.113255881,0.780825239,0.105918862
2/6/2012,165,160,161,810,131090,165,0.18290677,0.74819693,0.068896318
2/7/2012,163,161,161,510,82550,161,0.248201366,0.676704294,0.075094325
2/8/2012,165,162,162,2320,377060,161,0.021753003,0.903243282,0.075003726
2/9/2012,163,160,162,560,90210,162,0.138521234,0.716827726,0.144651034
2/12/2012,161,161,161,390,62790,162,0.08860936,0.791314571,0.120076051
2/13/2012,169,160,162,290,47370,161,0.098481063,0.787299277,0.114219664
2/14/2012,160,159,159,250,39800,162,0.227148588,0.605143842,0.167707565
2/15/2012,162,153,162,850,135530,159,0.213601098,0.596001998,0.190396885
2/16/2012,160,159,160,730,116470,162,0.113710172,0.670349031,0.215940796
2/21/2012,164,159,164,1940,310150,160,0.267271639,0.723086079,0.009642267
2/23/2012,166,160,160,800,130800,164,0.100741192,0.693078163,0.206180634
2/26/2012,162,159,162,100,15960,160,0.330466711,0.540717346,0.128815919
2/27/2012,161,160,161,1150,184240,162,0.148023782,0.843431093,0.008545118
2/28/2012,161,160,161,60,9630,161,0.318440579,0.659982507,0.021576934
2/29/2012,167,164,167,40,6620,161,0.246112236,0.748836435,0.005051337
3/1/2012,165,162,162,230,37860,167,0.200119083,0.705397273,0.094483637
3/5/2012,165,163,163,340,55500,162,0.234581503,0.615253616,0.150164897
3/6/2012,171,161,171,300,50230,163,0.314631807,0.501777956,0.183590223
3/11/2012,174,165,165,620,102630,171,0.042817699,0.71732027,0.239862006
3/12/2012,164,162,164,30,4900,165,0.179248938,0.74745414,0.073296929
3/13/2012,170,165,170,490,82120,164,0.22549664,0.618981793,0.155521582
3/14/2012,173,167,169,1550,260930,170,0.171088195,0.598802085,0.230109727
3/15/2012,172,169,170,1260,215520,169,0.100025977,0.609839848,0.290134156
3/19/2012,173,170,170,60,10260,170,0.244970687,0.50671176,0.248317566
3/20/2012,169,167,168,280,47120,170,0.630163502,0.232248747,0.13758774
3/21/2012,171,160,171,1130,190210,168,0.370144175,0.58179047,0.048065346
3/25/2012,168,162,166,860,141720,171,0.149642972,0.601772861,0.248584158
3/26/2012,168,167,168,190,31910,166,0.270916421,0.634078875,0.095004704
3/27/2012,169,169,169,270,45630,168,0.508708775,0.36223051,0.12906074
3/28/2012,170,170,170,100,17000,169,0.322392469,0.667694304,0.009913214
3/29/2012,167,167,167,120,20040,170,0.154977432,0.665208402,0.17981419
4/1/2012,168,165,168,290,47880,167,0.332757187,0.446642924,0.220599884
4/2/2012,171,169,171,1430,242630,168,0.231590796,0.696037,0.072372176
4/3/2012,172,170,170,1350,230300,171,0.393023239,0.497817267,0.109159482
4/4/2012,176,170,170,1290,219640,170,0.184908776,0.473551351,0.341539883
4/5/2012,169,168,169,80,13480,170,0.248642152,0.547676167,0.203681678
4/8/2012,175,170,175,700,119740,169,0.270492537,0.64386238,0.085645089
4/9/2012,181,175,179,850,151890,175,0.139603544,0.792234458,0.068162002
4/10/2012,185,176,179,1490,264440,179,0.329208692,0.652955202,0.017836113
4/11/2012,194,182,194,1160,221260,179,0.329546839,0.432324122,0.238129027
4/12/2012,200,184,191,2510,476830,194,0.278752405,0.57071883,0.15052878
4/15/2012,200,194,197,180,35520,191,0.19877519,0.762182433,0.039042392
4/16/2012,200,200,200,1310,262000,197,0.449022691,0.538567761,0.012409582
4/17/2012,212,196,196,2780,573500,200,0.331691634,0.655938952,0.012369387
4/18/2012,214,193,210,2130,438920,196,0.275043739,0.515496738,0.209459524
4/19/2012,222,209,209,2070,444760,210,0.271841612,0.619419903,0.108738501
