Date,High,Low,LTP,Quantity,Turnover,Open,positive,negative,neutral
3/17/2011,450,442,442,260,116200,450,0.02106769,0.972958744,0.005973655
3/27/2011,458,454,458,1740,795740,460,0.326006847,0.506904762,0.167088344
3/28/2011,458,450,450,1350,609940,458,0.219886121,0.668332841,0.111781045
3/29/2011,445,440,440,1400,616800,450,0.145735587,0.571141196,0.283123229
3/30/2011,450,436,450,2460,1097260,440,0.061427242,0.647712697,0.29086003
3/31/2011,455,455,455,150,68250,450,0.109186003,0.666453862,0.224360116
4/4/2011,455,450,455,1110,500600,455,0.100395538,0.498140728,0.401463737
4/5/2011,460,456,460,1400,642900,455,0.104265768,0.677605355,0.21812886
4/6/2011,460,460,460,530,243800,460,0.266418355,0.546604596,0.186977063
4/7/2011,465,456,460,3430,1578600,460,0.124533097,0.546728651,0.328738239
4/10/2011,461,455,461,10520,4834740,460,0.106067815,0.79197723,0.101954949
4/11/2011,460,452,459,4420,2007830,461,0.345036189,0.411403296,0.243560539
4/13/2011,481,459,474,3010,1418900,459,0.122848018,0.801913844,0.075238159
4/20/2011,466,466,466,10,4660,474,0.334521188,0.51006562,0.155413206
4/21/2011,460,460,460,10,4600,466,0.169357684,0.630448548,0.20019378
4/27/2011,451,423,424,470,204950,460,0.288576282,0.574446073,0.136977633
4/28/2011,427,419,420,1190,500770,424,0.225099922,0.672070959,0.102829125
5/2/2011,415,407,414,2150,877950,420,0.134468469,0.628293021,0.237238475
5/3/2011,406,396,399,1530,611440,414,0.006930341,0.835658308,0.157411349
5/4/2011,406,406,406,100,40600,399,0.150129982,0.749127709,0.100742295
5/5/2011,405,402,402,810,327000,406,0.030978719,0.90263918,0.066382107
5/8/2011,410,406,406,400,163200,402,0.106865842,0.836820514,0.056313647
5/10/2011,406,406,406,300,121800,406,0.294199421,0.604820275,0.100980296
5/11/2011,406,400,406,830,333610,406,0.159131836,0.777994613,0.062873567
5/12/2011,408,406,408,1090,442720,406,0.038367506,0.896100654,0.065531838
5/15/2011,406,406,406,200,81200,408,0.022797704,0.95887546,0.018326829
5/16/2011,407,405,405,600,243500,406,0.243028934,0.52130435,0.235666726
5/18/2011,410,406,406,310,126660,405,0.128668469,0.623386993,0.247944545
5/19/2011,406,404,404,400,162100,406,0.026110474,0.723583808,0.250305713
5/22/2011,405,403,403,400,161600,404,0.423610112,0.551619811,0.02477009
5/23/2011,403,400,403,730,292640,403,0.199728213,0.699559993,0.100711787
5/24/2011,400,399,399,370,147700,403,0.330246645,0.511485943,0.158267396
5/25/2011,402,399,399,450,179850,399,0.258424513,0.702129202,0.039446306
5/26/2011,414,398,414,1520,608100,399,0.372024396,0.477024204,0.150951396
5/30/2011,406,398,402,830,332950,414,0.411584969,0.441262073,0.147152956
5/31/2011,399,394,395,2700,1069800,402,0.434571435,0.300567398,0.264861203
6/1/2011,401,399,399,500,199700,395,0.282613189,0.264659228,0.452727567
6/2/2011,399,398,399,280,111550,399,0.306275134,0.605627549,0.088097316
6/5/2011,395,390,390,900,353100,399,0.381954128,0.415877387,0.202168503
6/6/2011,390,385,385,550,213750,390,0.636415652,0.329127903,0.034456431
6/7/2011,389,380,380,1700,655700,385,0.323017344,0.541031204,0.135951481
6/8/2011,381,370,370,3970,1499080,380,0.261735282,0.648802087,0.089462642
6/9/2011,377,365,377,980,362490,370,0.199110247,0.679787287,0.121102469
6/12/2011,381,352,366,10110,3679160,377,0.368809146,0.262894547,0.368296272
6/13/2011,377,366,377,950,350950,366,0.183634288,0.786526406,0.02983934
6/14/2011,380,377,378,510,192880,377,0.412292977,0.317993308,0.26971373
6/15/2011,385,375,376,3130,1180650,378,0.110676362,0.707347949,0.181975703
6/16/2011,392,376,392,1450,552000,376,0.203616425,0.614304498,0.182079078
6/19/2011,417,399,417,1200,491500,392,0.32663044,0.662047828,0.011321722
6/20/2011,419,408,415,7960,3278350,417,0.382211783,0.53323911,0.084549122
6/21/2011,428,415,420,4600,1926100,415,0.266182671,0.503276075,0.230541258
6/23/2011,446,423,446,6060,2624350,420,0.445290666,0.466384967,0.088324365
6/26/2011,455,402,402,4360,1914710,446,0.240832739,0.589492233,0.169675039
6/27/2011,395,381,381,2250,866850,402,0.339489745,0.457559481,0.202950769
6/29/2011,385,370,385,2350,880950,381,0.352761438,0.462907949,0.184330619
6/30/2011,414,385,414,1120,438640,385,0.304204596,0.663287202,0.032508197
7/3/2011,414,391,400,1280,511240,414,0.201006715,0.574589532,0.224403773
7/4/2011,405,398,405,400,159900,400,0.296799551,0.47425034,0.228950068
7/5/2011,421,412,421,1690,701160,405,0.194791629,0.794208284,0.011000112
7/6/2011,421,413,420,550,229750,421,0.206790744,0.624065916,0.169143337
7/7/2011,420,400,405,500,204200,420,0.237126331,0.734159729,0.028713929
7/10/2011,413,410,413,640,264020,405,0.340764566,0.54831541,0.11092004
7/11/2011,407,400,400,610,244770,413,0.412390447,0.433069231,0.154540323
7/12/2011,416,408,415,360,148180,400,0.372439655,0.543502079,0.084058295
7/13/2011,425,407,413,2210,918350,415,0.133663712,0.787019987,0.079316291
7/14/2011,419,408,419,2820,1162700,413,0.310670065,0.619943847,0.069386091
7/17/2011,435,427,435,310,134050,419,0.23959737,0.398563724,0.361838934
7/18/2011,451,417,425,1660,719700,435,0.393549755,0.595058391,0.011391851
7/19/2011,425,425,425,1710,726750,425,0.601291768,0.37900515,0.019703069
7/20/2011,439,420,439,2660,1143940,425,0.645169678,0.27448689,0.080343443
7/21/2011,435,425,427,1740,744770,439,0.2391251,0.751286592,0.009588323
7/24/2011,419,414,415,1180,489420,427,0.312459506,0.566382645,0.121157833
7/25/2011,415,415,415,280,116200,415,0.188617651,0.76937343,0.042008909
7/26/2011,419,400,415,1810,734740,415,0.179880635,0.507393011,0.312726359
7/27/2011,420,405,420,5040,2063380,415,0.231788163,0.596596187,0.171615671
7/28/2011,421,413,421,210,87310,420,0.308634183,0.557565882,0.133799942
7/31/2011,417,415,417,950,394500,421,0.214444835,0.688901615,0.096653523
